-fno-aggressive-loop-optimizations, 1.26170000000000000000
-fno-align-functions, 1.25880000000000000000
-fno-align-jumps, 1.25940000000000000000
-fno-align-labels, 1.25020000000000000000
-fno-align-loops, 1.26130000000000000000
-fno-auto-inc-dec, 1.29490000000000000000
-fno-branch-count-reg, 1.24470000000000000000
-fno-caller-saves, 1.22170000000000000000
-fno-combine-stack-adjustments, 1.24080000000000000000
-fno-compare-elim, 1.25650000000000000000
-fno-cprop-registers, 1.24080000000000000000
-fno-crossjumping, 1.25470000000000000000
-fno-cse-follow-jumps, 1.25520000000000000000
-fno-dce, 1.25150000000000000000
-fno-defer-pop, 1.25040000000000000000
-fno-delete-null-pointer-checks, 1.32320000000000000000
-fno-devirtualize, 1.26990000000000000000
-fno-devirtualize-speculatively, 1.25920000000000000000
-fno-dse, 1.27440000000000000000
-fno-early-inlining, 1.85970000000000000000
-fno-expensive-optimizations, 1.27430000000000000000
-fno-forward-propagate, 1.25270000000000000000
-fno-function-cse, 1.25550000000000000000
-fno-gcse, 1.15510000000000000000
-fno-gcse-after-reload, 1.43580000000000000000
-fno-gcse-lm, 1.15520000000000000000
-fno-guess-branch-probability, 2.01190000000000000000
-fno-hoist-adjacent-loads, 1.27390000000000000000
-fno-if-conversion, 1.24830000000000000000
-fno-if-conversion2, 1.23360000000000000000
-fno-indirect-inlining, 1.26860000000000000000
-fno-inline, 2.88880000000000000000
-fno-inline-atomics, 1.23560000000000000000
-fno-inline-functions, 2.16600000000000000000
-fno-inline-functions-called-once, 1.26850000000000000000
-fno-inline-small-functions, 2.47260000000000000000
-fno-ipa-cp, 1.27890000000000000000
-fno-ipa-cp-alignment, 1.24710000000000000000
-fno-ipa-cp-clone, 1.27400000000000000000
-fno-ipa-icf, 1.26210000000000000000
-fno-ipa-icf-functions, 1.27410000000000000000
-fno-ipa-profile, 1.39770000000000000000
-fno-ipa-pure-const, 1.23750000000000000000
-fno-ipa-ra, 1.25340000000000000000
-fno-ipa-reference, 1.27510000000000000000
-fno-ipa-sra, 1.25450000000000000000
-fno-ira-hoist-pressure, 1.26820000000000000000
-fno-ira-share-save-slots, 1.25350000000000000000
-fno-ira-share-spill-slots, 1.25060000000000000000
-fno-isolate-erroneous-paths-dereference, 1.25120000000000000000
-fno-ivopts, 1.25440000000000000000
-fno-jump-tables, 1.24890000000000000000
-fno-lifetime-dse, 1.27540000000000000000
-fno-lra-remat, 1.26610000000000000000
-fno-math-errno, 1.26190000000000000000
-fno-move-loop-invariants, 1.18620000000000000000
-fno-optimize-sibling-calls, 1.26290000000000000000
-fno-optimize-strlen, 1.23810000000000000000
-fno-partial-inlining, 1.25530000000000000000
-fno-peephole, 1.29980000000000000000
-fno-peephole2, 1.16990000000000000000
-fno-plt, 1.25250000000000000000
-fno-predictive-commoning, 1.23810000000000000000
-fno-prefetch-loop-arrays, 1.25280000000000000000
-fno-reg-struct-return, 1.24310000000000000000
-fno-rename-registers, 1.30080000000000000000
-fno-reorder-blocks, 1.19360000000000000000
-fno-reorder-functions, 1.19020000000000000000
-fno-rerun-cse-after-loop, 1.23880000000000000000
-fno-rtti, 1.27720000000000000000
-fno-sched-critical-path-heuristic, 1.31900000000000000000
-fno-sched-dep-count-heuristic, 1.26440000000000000000
-fno-sched-group-heuristic, 1.24890000000000000000
-fno-sched-interblock, 1.24400000000000000000
-fno-sched-last-insn-heuristic, 1.34130000000000000000
-fno-sched-pressure, 1.31670000000000000000
-fno-sched-rank-heuristic, 1.26410000000000000000
-fno-sched-spec, 1.24650000000000000000
-fno-sched-spec-insn-heuristic, 1.24260000000000000000
-fno-sched-stalled-insns-dep, 1.24560000000000000000
-fno-schedule-fusion, 1.26150000000000000000
-fno-schedule-insns, 1.25030000000000000000
-fno-schedule-insns2, 1.33540000000000000000
-fno-section-anchors, 1.41660000000000000000
-fno-short-enums, 1.25470000000000000000
-fno-shrink-wrap, 1.25230000000000000000
-fno-signed-zeros, 1.26280000000000000000
-fno-split-ivs-in-unroller, 1.25680000000000000000
-fno-split-wide-types, 1.25150000000000000000
-fno-ssa-phiopt, 1.46110000000000000000
-fno-stdarg-opt, 1.26590000000000000000
-fno-strict-aliasing, 1.98260000000000000000
-fno-strict-overflow, 1.92400000000000000000
-fno-strict-volatile-bitfields, 1.26540000000000000000
-fno-thread-jumps, 1.25020000000000000000
-fno-threadsafe-statics, 1.27570000000000000000
-fno-trapping-math, 1.23500000000000000000
-fno-tree-bit-ccp, 1.25840000000000000000
-fno-tree-builtin-call-dce, 1.24790000000000000000
-fno-tree-ccp, 1.17730000000000000000
-fno-tree-ch, 1.25740000000000000000
-fno-tree-coalesce-vars, 1.25490000000000000000
-fno-tree-copy-prop, 1.26200000000000000000
-fno-tree-copyrename, 1.26560000000000000000
-fno-tree-cselim, 1.25150000000000000000
-fno-tree-dce, 2.00490000000000000000
-fno-tree-dominator-opts, 1.44570000000000000000
-fno-tree-dse, 1.25640000000000000000
-fno-tree-forwprop, 1.22670000000000000000
-fno-tree-fre, 1.14770000000000000000
-fno-tree-loop-distribute-patterns, 1.26760000000000000000
-fno-tree-loop-if-convert, 1.25330000000000000000
-fno-tree-loop-im, 1.29310000000000000000
-fno-tree-loop-ivcanon, 1.22340000000000000000
-fno-tree-loop-optimize, 1.80890000000000000000
-fno-tree-loop-vectorize, 1.26330000000000000000
-fno-tree-partial-pre, 1.26520000000000000000
-fno-tree-phiprop, 1.26360000000000000000
-fno-tree-pre, 1.83580000000000000000
-fno-tree-pta, 1.17310000000000000000
-fno-tree-reassoc, 1.27280000000000000000
