Source,Compiler
drystone,arm_gcc
 
Optimization level,0
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func3,4.135454545454546,125.38181818181819,5.677272727272727,500000000.0,0.0,0.0
Func2,14.161818181818182,85.67636363636363,19.45727272727273,500000000.0,0.0,0.0
Func1,8.96,106.36727272727272,12.304545454545455,1500000000.0,0.0,0.0
Proc8,20.402727272727272,38.1390909090909,28.020909090909093,500000000.0,0.0,0.0
Proc5,0.5181818181818183,137.80636363636364,0.7081818181818181,500000000.0,0.0,0.0
Proc4,4.053636363636364,124.36636363636363,5.569090909090909,500000000.0,0.0,0.0
Proc7,3.475454545454546,131.67636363636365,4.774545454545454,1500000000.0,0.0,0.0
Proc6,2.4345454545454546,135.46454545454546,3.3436363636363633,500000000.0,0.0,0.0
Proc1,14.42727272727273,83.39636363636363,19.829090909090908,500000000.0,0.0,0.0
Proc0,19.485454545454544,44.989999999999995,26.755454545454544,1.0,26.755454545454544,137.80636363636364
Proc3,1.1872727272727275,137.09454545454548,1.6336363636363636,500000000.0,0.0,0.0
Proc2,7.084545454545454,116.1009090909091,9.732727272727274,500000000.0,0.0,0.0
 
Optimization level,1
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func2,6.018181818181817,17.15909090909091,1.239090909090909,500000000.0,0.0,0.0
Func1,3.9072727272727277,19.37545454545455,0.799090909090909,0.0,0.0,0.0
Proc8,24.786363636363635,6.98,5.090000000000001,500000000.0,0.0,0.0
Proc5,2.3400000000000003,20.306363636363635,0.47909090909090907,500000000.0,0.0,0.0
Proc4,1.0918181818181816,20.529090909090908,0.2218181818181818,0.0,0.0,0.0
Proc6,4.0236363636363635,19.259090909090904,0.8263636363636365,500000000.0,0.0,0.0
Proc1,24.465454545454545,8.353636363636364,5.024545454545454,500000000.0,0.0,0.0
Proc0,20.791818181818186,14.384545454545457,4.268181818181818,1.0,4.268181818181818,19.503636363636364
Proc3,7.480909090909091,15.922727272727274,1.54,500000000.0,0.0,0.0
Proc2,5.041818181818182,18.451818181818183,1.0372727272727273,500000000.0,0.0,0.0
 
Optimization level,2
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func2,9.057272727272727,11.55181818181818,1.2145454545454546,500000000.0,2.42,2.42
Func1,3.178181818181818,12.973636363636365,0.42545454545454553,0.0,0.0,0.0
Proc8,15.561818181818182,10.167272727272728,2.0736363636363637,500000000.0,4.1481818181818175,4.1481818181818175
Proc5,1.738181818181818,13.409090909090908,0.23090909090909092,0.0,0.0,0.0
Proc7,1.9818181818181815,13.24909090909091,0.2636363636363636,0.0,0.0,0.0
Proc6,7.2681818181818185,12.521818181818183,0.9718181818181818,500000000.0,1.9372727272727273,1.9372727272727273
Proc1,39.828181818181825,5.319090909090909,5.319090909090909,500000000.0,10.636363636363635,12.57363636363636
Proc0,21.936363636363634,8.468181818181819,2.9481818181818182,0.0,0.0,0.0
 
Optimization level,3
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Proc0,99.22363636363637,9.756363636363638,9.756363636363638,0.0,0.0,0.0
