Source,Compiler
drystone,gcc
 
Optimization level,0
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func3,3.0672727272727274,58.458181818181814,1.920909090909091,500000000.0,0.0,0.0
Func2,8.50181818181818,51.09727272727273,5.315454545454545,500000000.0,0.0,0.0
Func1,11.429090909090908,42.36090909090909,7.16090909090909,1500000000.0,0.0,0.0
Proc8,15.015454545454547,32.68,9.409090909090908,500000000.0,0.0,0.0
Proc5,0.7963636363636364,62.788181818181826,0.5,500000000.0,0.0,0.0
Proc4,2.0045454545454544,61.968181818181826,1.2536363636363639,500000000.0,0.0,0.0
Proc7,8.447272727272727,49.76999999999999,5.289090909090909,1500000000.0,0.0,0.0
Proc6,4.915454545454545,56.040000000000006,3.0763636363636366,500000000.0,0.0,0.0
Proc1,15.827272727272726,28.498181818181816,9.903636363636364,500000000.0,0.0,0.0
Proc0,25.37090909090909,15.887272727272727,15.887272727272727,1.0,15.887272727272727,62.788181818181826
Proc3,2.7436363636363637,59.22,1.7163636363636363,500000000.0,0.0,0.0
Proc2,2.1709090909090913,61.407272727272726,1.3572727272727272,500000000.0,0.0,0.0
 
Optimization level,1
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func2,5.04,12.88,0.7618181818181818,500000000.0,0.0,0.0
Func1,2.1027272727272726,14.72636363636364,0.3154545454545455,0.0,0.0,0.0
frame_dummy,0.5881818181818183,15.142727272727274,0.09181818181818181,0.0,0.0,0.0
Proc8,12.026363636363635,11.69,1.8209090909090906,500000000.0,0.0,0.0
Proc5,4.050909090909091,14.102727272727272,0.6009090909090911,500000000.0,0.0,0.0
Proc4,1.0818181818181818,14.996363636363638,0.16272727272727272,0.0,0.0,0.0
Proc7,1.6827272727272728,14.72272727272727,0.26272727272727275,0.0,0.0,0.0
Proc6,4.392727272727273,13.41818181818182,0.660909090909091,500000000.0,0.0,0.0
Proc1,20.432727272727274,8.521818181818183,3.100909090909091,500000000.0,0.0,0.0
Proc0,23.479999999999997,4.579090909090909,3.559090909090909,1.0,3.559090909090909,14.308181818181817
Proc3,21.124545454545455,7.293636363636363,3.2109090909090905,500000000.0,0.0,0.0
Proc2,3.8899999999999992,13.887272727272729,0.5872727272727273,500000000.0,0.0,0.0
 
Optimization level,2
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func2,9.283636363636363,8.72090909090909,0.8981818181818183,500000000.0,1.800909090909091,1.800909090909091
Func1,1.7363636363636366,9.577272727272726,0.16999999999999996,0.0,0.0,0.0
Proc8,13.797272727272729,7.823636363636362,1.3399999999999999,500000000.0,2.6700000000000004,2.6700000000000004
Proc5,1.7236363636363636,9.641818181818183,0.16636363636363632,0.0,0.0,0.0
Proc7,1.7345454545454544,9.59727272727273,0.16636363636363632,0.0,0.0,0.0
Proc6,5.421818181818181,9.246363636363638,0.5236363636363636,500000000.0,1.050909090909091,1.050909090909091
Proc1,44.17636363636364,4.300000000000001,4.300000000000001,500000000.0,8.599999999999998,9.652727272727272
Proc0,22.58727272727273,6.485454545454545,2.1854545454545455,0.0,0.0,0.0
 
Optimization level,3
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
frame_dummy,2.1999999999999997,6.339090909090908,0.1390909090909091,0.0,0.0,0.0
Proc1,48.656363636363636,5.466363636363636,3.0654545454545454,500000000.0,6.132727272727274,6.132727272727274
Proc0,49.550909090909094,4.034545454545455,3.1336363636363633,0.0,0.0,0.0
