Source,Compiler
drystone,icc
 
Optimization level,0
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func3,1.718181818181818,81.10909090909091,1.4218181818181819,500000000.0,0.0,0.0
Func2,6.926363636363636,69.27363636363636,5.710909090909092,500000000.0,0.0,0.0
Func1,8.090909090909092,62.30909090909092,6.612727272727272,1500000000.0,0.0,0.0
Proc8,16.03181818181818,48.212727272727264,13.476363636363637,500000000.0,0.0,0.0
Proc5,0.9463636363636364,82.73363636363636,0.78,500000000.0,0.0,0.0
Proc4,1.457272727272727,81.66909090909091,1.2,500000000.0,0.0,0.0
Proc7,6.016363636363637,72.37181818181818,4.998181818181819,1500000000.0,0.0,0.0
Proc6,7.533636363636364,64.48363636363636,6.2,500000000.0,0.0,0.0
Proc1,22.580000000000005,37.237272727272725,18.62090909090909,500000000.0,0.0,0.0
Proc0,23.621818181818185,26.133636363636366,19.41818181818182,1.0,19.41818181818182,82.73363636363636
Proc3,2.8327272727272725,77.69181818181818,2.339090909090909,500000000.0,0.0,0.0
Proc2,2.3600000000000003,79.07818181818182,1.9527272727272729,500000000.0,0.0,0.0
 
Optimization level,1
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
Func3,1.7345454545454544,38.96000000000001,0.6772727272727272,500000000.0,0.0,0.0
Func2,6.961818181818182,30.457272727272724,2.715454545454546,500000000.0,0.0,0.0
Func1,7.921818181818181,27.38272727272727,3.0827272727272725,1500000000.0,0.0,0.0
Proc8,8.290909090909091,26.34181818181818,3.222727272727273,500000000.0,0.0,0.0
Proc5,2.5745454545454542,38.18181818181818,1.002727272727273,500000000.0,0.0,0.0
Proc4,3.2045454545454537,37.18818181818182,1.247272727272727,500000000.0,0.0,0.0
Proc7,9.833636363636364,22.285454545454545,3.832727272727273,1500000000.0,0.0,0.0
Proc6,4.457272727272727,34.61454545454546,1.738181818181818,500000000.0,0.0,0.0
Proc1,20.810000000000002,17.41181818181818,8.141818181818183,500000000.0,0.0,0.0
Proc0,25.59,10.74,9.98,1.0,9.98,38.96000000000001
Proc3,4.78909090909091,33.35636363636364,1.860909090909091,500000000.0,0.0,0.0
Proc2,3.706363636363636,35.79909090909091,1.448181818181818,500000000.0,0.0,0.0
 
Optimization level,2
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
main,100.10000000000001,6.440909090909091,6.440909090909091,0.0,0.0,0.0
 
Optimization level,3
name,%,cumulative_time,self_time,calls,self_calls,total_self_calls
main,100.10000000000001,5.685454545454546,5.685454545454546,0.0,0.0,0.0
