policy	pdist	pabort	Imiss	Dmiss
m	1	50	0.0295	0.0707
m	1	60	0.0308	0.0709
m	1	70	0.0322	0.0707
m	2	0	0.0299	0.0747
m	2	10	0.0305	0.0745
m	2	20	0.0310	0.0741
m	2	30	0.0317	0.0737
m	2	40	0.0325	0.0735
m	2	50	0.0331	0.0729
m	2	60	0.0337	0.0726
m	2	70	0.0344	0.0722
m	3	0	0.0318	0.0760
m	3	10	0.0322	0.0755
m	3	20	0.0328	0.0752
m	3	30	0.0332	0.0743
m	3	40	0.0337	0.0739
m	3	50	0.0342	0.0733
m	3	60	0.0347	0.0728
m	3	70	0.0351	0.0721
m	4	0	0.0333	0.0783
m	4	10	0.0338	0.0776
m	4	20	0.0342	0.0769
m	4	30	0.0347	0.0761
m	4	40	0.0349	0.0755
m	4	50	0.0353	0.0746
m	4	60	0.0356	0.0737
m	4	70	0.0358	0.0730
m	5	0	0.0357	0.0788
m	5	10	0.0359	0.0780
m	5	20	0.0361	0.0772
m	5	30	0.0362	0.0765
m	5	40	0.0363	0.0757
m	5	50	0.0364	0.0751
m	5	60	0.0366	0.0744
m	5	70	0.0367	0.0734
m	6	0	0.0364	0.0782
m	6	10	0.0365	0.0775
m	6	20	0.0367	0.0770
m	6	30	0.0367	0.0761
m	6	40	0.0368	0.0754
m	6	50	0.0369	0.0747
m	6	60	0.0368	0.0739
m	6	70	0.0368	0.0731
m	7	0	0.0373	0.0795
m	7	10	0.0376	0.0788
m	7	20	0.0376	0.0780
m	7	30	0.0374	0.0772
m	7	40	0.0376	0.0763
m	7	50	0.0375	0.0754
m	7	60	0.0374	0.0745
m	7	70	0.0374	0.0734
m	8	0	0.0376	0.0795
m	8	10	0.0377	0.0785
m	8	20	0.0376	0.0777
m	8	30	0.0377	0.0769
m	8	40	0.0376	0.0761
m	8	50	0.0375	0.0750
m	8	60	0.0373	0.0741
m	8	70	0.0371	0.0730
m	9	0	0.0382	0.0789
m	9	10	0.0381	0.0781
m	9	20	0.0380	0.0775
m	9	30	0.0380	0.0765
m	9	40	0.0377	0.0758
m	9	50	0.0376	0.0749
m	9	60	0.0375	0.0740
m	9	70	0.0373	0.0731
m	10	0	0.0379	0.0789
m	10	10	0.0380	0.0782
m	10	20	0.0380	0.0775
m	10	30	0.0379	0.0768
m	10	40	0.0378	0.0757
m	10	50	0.0377	0.0748
m	10	60	0.0375	0.0742
m	10	70	0.0372	0.0731
m	11	0	0.0393	0.0801
m	11	10	0.0391	0.0793
m	11	20	0.0390	0.0785
m	11	30	0.0385	0.0774
m	11	40	0.0384	0.0765
m	11	50	0.0381	0.0754
m	11	60	0.0379	0.0744
m	11	70	0.0376	0.0733
m	12	0	0.0394	0.0805
m	12	10	0.0393	0.0796
m	12	20	0.0391	0.0786
m	12	30	0.0388	0.0776
m	12	40	0.0388	0.0766
m	12	50	0.0384	0.0755
